Date;SWDA.L;XLK;IAU;BIL
2015-05-06;0,272360;0,277895;0,221633;0,228112
2015-05-07;0,272602;0,279746;0,219750;0,227902
2015-05-08;0,271499;0,282172;0,219659;0,226670
2015-05-11;0,269838;0,282392;0,219808;0,227962
2015-05-12;0,267710;0,281518;0,222237;0,228535
2015-05-13;0,266156;0,281371;0,225019;0,227454
2015-05-14;0,265803;0,283794;0,224684;0,225719
2015-05-15;0,265859;0,282990;0,225343;0,225808
2015-05-18;0,267133;0,283339;0,224532;0,224996
2015-05-19;0,270293;0,282852;0,221678;0,225178
2015-05-20;0,269444;0,283153;0,222140;0,225262
2015-05-21;0,268607;0,284512;0,221474;0,225407
2015-05-22;0,270272;0,283819;0,220897;0,225012
2015-05-26;0,270838;0,282335;0,219710;0,227117
2015-05-27;0,271589;0,285278;0,217893;0,225239
2015-05-28;0,271883;0,284751;0,218129;0,225237
2015-05-29;0,270995;0,283675;0,219289;0,226041
2015-06-01;0,271979;0,283844;0,218624;0,225552
2015-06-02;0,270566;0,283720;0,219743;0,225971
2015-06-03;0,272068;0,284087;0,218050;0,225795
2015-06-04;0,271436;0,283348;0,217969;0,227248
2015-06-05;0,271579;0,283176;0,217395;0,227850
2015-06-08;0,271174;0,281185;0,218885;0,228756
2015-06-09;0,269522;0,281266;0,219851;0,229361
2015-06-10;0,268661;0,283514;0,220128;0,227698
2015-06-11;0,269660;0,283485;0,219236;0,227619
2015-06-12;0,268342;0,282626;0,220133;0,228900
2015-06-15;0,267009;0,281688;0,221714;0,229589
2015-06-16;0,266605;0,283323;0,220766;0,229307
2015-06-17;0,265078;0,283582;0,221831;0,229509
2015-06-18;0,263958;0,284480;0,223456;0,228106
2015-06-19;0,264615;0,282919;0,223708;0,228758
2015-06-22;0,268108;0,284091;0,219921;0,227881
2015-06-23;0,268483;0,284534;0,218957;0,228027
2015-06-24;0,269081;0,283789;0,218635;0,228495
2015-06-25;0,268645;0,283682;0,218679;0,228994
2015-06-26;0,268244;0,282235;0,219805;0,229717
2015-06-29;0,265817;0,279118;0,222891;0,232175
2015-06-30;0,265141;0,279916;0,222331;0,232613
2015-07-01;0,267324;0,280548;0,220556;0,231572
2015-07-02;0,267408;0,280989;0,219999;0,231603
2015-07-06;0,266160;0,280536;0,221130;0,232175
2015-07-07;0,265719;0,281875;0,219509;0,232896
2015-07-08;0,268306;0,277814;0,220529;0,233352
2015-07-09;0,269786;0,276430;0,220684;0,233100
2015-07-10;0,269587;0,279152;0,219557;0,231704
2015-07-13;0,269865;0,281951;0,217661;0,230523
2015-07-14;0,270216;0,282679;0,216813;0,230292
2015-07-15;0,270508;0,283153;0,215765;0,230573
2015-07-16;0,270803;0,285545;0,214067;0,229586
2015-07-17;0,269609;0,289501;0,211609;0,229280
2015-07-20;0,271838;0,291870;0,206403;0,229889
2015-07-21;0,272228;0,290763;0,206411;0,230598
2015-07-22;0,271531;0,288689;0,207123;0,232657
2015-07-23;0,273231;0,287958;0,206252;0,232559
2015-07-24;0,271606;0,286863;0,208547;0,232984
2015-07-27;0,269800;0,286335;0,209256;0,234609
2015-07-28;0,269679;0,287953;0,208550;0,233817
2015-07-29;0,270519;0,288595;0,208035;0,232851
2015-07-30;0,271101;0,289391;0,206451;0,233056
2015-07-31;0,272130;0,287868;0,207411;0,232591
2015-08-03;0,272607;0,287436;0,206454;0,233504
2015-08-04;0,272420;0,286268;0,207427;0,233885
2015-08-05;0,273201;0,287954;0,205851;0,232994
2015-08-06;0,273048;0,285979;0,207268;0,233705
2015-08-07;0,272240;0,286111;0,208003;0,233646
2015-08-10;0,271978;0,288124;0,208188;0,231710
2015-08-11;0,270273;0,285730;0,210773;0,233224
2015-08-12;0,266238;0,287016;0,213524;0,233222
2015-08-13;0,269306;0,286013;0,211614;0,233067
2015-08-14;0,268453;0,287154;0,211604;0,232789
2015-08-17;0,268933;0,287873;0,211136;0,232058
